state	presidential_year	abb	population_2020	fips	mrp_ideology_se	mrp_ideology	irt_ideology_unweighted	self_ideology	self_ideology_se	irt_ideology_unweighted_sd	irt_ideology_unweighted_se	sample_size	survey_period	demshare_pres
"Alabama"	2008	"AL"	5024279	1	0.06488769285197676	0.2094686244393133	0.21423407836645217	3.5226537216828477	0.018687594800812085	0.9273118127981471	0.016236178370899267	3262	"2004-2011"	0.39109097246427327
"Alabama"	2016	"AL"	5024279	1	0.03634691316181501	0.28973063204959415	0.2345759782505506	3.3125523012552303	0.02136269533760176	0.9108865695210482	0.01760845469035106	2676	"2012-2016"	0.3562585640603926
"Alabama"	2020	"AL"	5024279	1	0.03671657336316718	0.19830815983376737	0.20818765737010367	3.2783742331288344	0.01164602833146506	0.9415738247238339	0.009280756761742937	10293	"2017-2021"	0.3708862516664528
"Alaska"	2008	"AK"	733391	2	0.07339052205902263	0.16700373994205853	0.1254819705387749	3.2972972972972974	0.04018454566416921	1.0081136146219705	0.03488721022250405	835	"2004-2011"	0.389352150834029
"Alaska"	2016	"AK"	733391	2	0.05049736123392846	0.1969598667209022	0.16745659972261676	3.225201072386059	0.05334475449114216	1.055494391495825	0.053175039239951774	394	"2012-2016"	0.4161434528893193
"Alaska"	2020	"AK"	733391	2	0.04582298424297601	0.17582185438087572	0.159501477370409	3.103896103896104	0.034257016335069786	1.0356616284377613	0.03096013477273611	1119	"2017-2021"	0.4473815127615069
"Arizona"	2008	"AZ"	7151502	4	0.06417543892587758	0.10941174500417825	0.12181605860367022	3.28388176240937	0.014941049430544254	1.0357863271834653	0.013863575687592762	5582	"2004-2011"	0.4568609928038368
"Arizona"	2016	"AZ"	7151502	4	0.0354055566106464	0.13945447030873348	0.16986588827534388	3.2092385572663993	0.015590447215972485	1.019109831888528	0.014301271226528602	5078	"2012-2016"	0.481108795538633
"Arizona"	2020	"AZ"	7151502	4	0.03641471697541837	0.03674054663941824	0.05517142371557727	3.0876825310978906	0.009091013897785851	1.0286429927704481	0.008090777370364469	16164	"2017-2021"	0.5015683167912931
"Arkansas"	2008	"AR"	3011524	5	0.06504299185906172	0.15999984429955122	0.16686255113453774	3.4347625633932686	0.023136320636994036	0.9325276868523125	0.019343883727691538	2324	"2004-2011"	0.3982827938928274
"Arkansas"	2016	"AR"	3011524	5	0.040466911438344785	0.27451548930292186	0.22417145498154167	3.276299879081016	0.026184371686805125	0.8969657617534361	0.020893596255588634	1843	"2012-2016"	0.35714862310229534
"Arkansas"	2020	"AR"	3011524	5	0.037534840308679776	0.1835114225410323	0.18272756023679348	3.249903437620703	0.015195559178396644	0.9411092528233204	0.012205739979026443	5945	"2017-2021"	0.3578756672201685
